ano,ata,tipo,url
2016,Sessão de 8.8.2016,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/CAA.08.08.201611.pdf
2016,Sessão de 12.9.2016,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/CAA.12.09.20161.pdf
2016,Sessão de 10.10.2016,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-CAA-10.10.161.pdf
2016,Sessão de 1º.11.2016,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-CAA-1.11.16.pdf
2016,Sessão de 7.11.2016,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-CAA-7.11.16.pdf
2016,Sessão de 5.12.2016,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-CAA-5.12.16.pdf
2017,Sessão de 27.3.2017,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-CAA-27.03.171.pdf
2017,Sessão de 8.5.2017,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-CAA-8.5.2017.pdf
2017,Sessão de 22.5.2017,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-CAA-22.5.2017.pdf
2017,Sessão de 12.6.2017,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-CAA_12.6.2017.pdf
2017,Sessão de 29.6.2017,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-CAA_29.6.2017.pdf
2017,Sessão de 7.8.2017,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-CAA-07.08.17.pdf
2017,Sessão de 4.9.2017,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-CAA-04.09.17.pdf
2017,Sessão de 6.11.2017,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/ATA-CAA-6.11.17.pdf
2017,Sessão de 18.12.2017,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-CAA-18.12.17.pdf
2018,Sessão de 20.2.2018,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-CAA-20.2.18.pdf
2018,Sessão de 26.3.2018,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-CAA-26.3.18.pdf
2018,Sessão de 23.4.2018,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-CAA-23.04.18.pdf
2018,Sessão de 14.52018,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-CAA-14.05.2018.pdf
2018,Sessão de 21.5.2018,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-CAA-21.05.2018.pdf
2018,Sessão de 11.6.2018,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-CAA-11.06.2018.pdf
2018,Sessão de 20.8.2018,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-CAA_20.08.18.pdf
2018,Sessão de 24.9.2018,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-CAA_24.09.2018.pdf
2018,Sessão de 30.11.2018,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-CAA_30.11.2018.pdf
2018,Sessão de 17.12.2018,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-CAA_17.12.2018.pdf
2019,Sessão de 11.2.2019,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-CAA_11.02.2019.pdf
2019,Sessão de 1º.4.2019,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-CAA_01.04.2019.pdf
2019,Sessão de 6.5.2019,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-CAA_06.05.2019.pdf
2019,Sessão de 17.6.2019,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-CAA_17.6.2019.pdf
2019,Sessão de 24.6.2019,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-CAA_24.6.2019.pdf
2019,Sessão de 5.8.2019,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-CAA_5.8.2019.pdf
2019,Sessão de 9.9.2019,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-CAA_9.9.2019.pdf
2019,Sessão de 14.10.2019,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-CAA_14.10.2019.pdf
2010,Sessão de 8.3.2010,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-297_8.3.2010.pdf
2010,Sessão de 17.3.2010,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-298_17.3.20101.pdf
2010,Sessão de 20.4.2010,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-299_20.4.20101.pdf
2010,Sessão de 16.6.2010,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-300_16.6.2010.pdf
2010,Sessão de 10.8.2010,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-301_10.8.2010.pdf
2010,Sessão de 10.9.2010,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR_10.9.2010.pdf
2010,Sessão de 26.10.2010,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-303_26.10.2010.pdf
2010,Sessão de 30.11.2010,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-304_30.11.2010.pdf
2010,Sessão de 14.12.2010,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR_14.12.2010.pdf
2011,Sessão de 1º.3.2011,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR_01.03.2011.pdf
2011,Sessão de 22.3.2011,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/AtaCLR220320111.pdf
2011,Sessão de 26.4.2011,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/AtaCLR26042011.pdf
2011,Sessão de 24.5.2011,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/AtaCLR240520111.pdf
2011,Sessão de 22.6.2011,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/AtaCLR22.06.pdf
2011,Sessão de 24.8.2011,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/AtaCLR240820111.pdf
2011,Sessão de 21.9.2011,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/AtaCLR21092011.pdf
2011,Sessão de 5.10.2011,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR_5.10.2011.pdf
2011,Sessão de 4.11.2011,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/AtaCLR4112011.pdf
2011,Sessão de 8.12.2011,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/ATACLR0812111.pdf
2012,Sessão de 14.3.2012,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR_14.03.2012.pdf
2012,Sessão de 11.4.2012,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-11.04.pdf
2012,Sessão de 13.6.2012,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR13.06.pdf
2012,Sessão de 15.8.2012,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-15.081.pdf
2012,Sessão de 18.9.2012,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-18.09.pdf
2012,Sessão de 24.10.2012,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-24.101.pdf
2012,Sessão de 5.12.2012,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-5.12.pdf
2013,Sessão de 16.4.2013,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/ATA-CLR-16.41.pdf
2013,Sessão de 5.6.2013,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/ATA-CLR-5.61.pdf
2013,Sessão de 27.8.2013,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-27.81.pdf
2013,Sessão de 24.9.2013,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-24.91.pdf
2013,Sessão de 27.11.2013,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/ATA-CLR-27.111.pdf
2014,Sessão de 17.2.2014,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-17.022.pdf
2014,Sessão de 11.3.2014,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-11.031.pdf
2014,Sessão de 8.4.2014,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-08.041.pdf
2014,Sessão de 6.5.2014,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-06.051.pdf
2014,Sessão de 10.6.2014,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/CLR-10.6.2014.pdf
2014,Sessão de 5.8.2014,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/CLR-5.8.2014.pdf
2014,Sessão de 20.8.2014,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/CLR-20.8.2014.pdf
2014,Sessão de 17.9.2014,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/CLR-17.9.2014.pdf
2014,Sessão de 29.10.2014,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/CLR-29.10.2014.pdf
2014,Sessão de 1º.12.2014,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/CLR-01.12.2014.pdf
2015,Sessão de 11.2.2015,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/CLR-11.2.2015.pdf
2015,Sessão de 25.3.2015,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/CLR-25.3.2015.pdf
2015,Sessão de 9.4.2015,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-09.041.pdf
2015,Sessão de 15.4.2015,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-15.042.pdf
2015,Sessão de 13.5.2015,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata_CLR_13.5.2015_24092018_1158041.pdf
2015,Sessão de 17.6.2015,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata_CLR_17.06.2015.pdf
2015,Sessão de 12.8.2015,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/clr12.8.2015_24092018_120624.pdf
2015,Sessão de 16.9.2015,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata_CLR_16.9.2015_24092018_121233.pdf
2015,Sessão de 7.10.2015,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata_CLR_7.10.2015_24092018_121459.pdf
2015,Sessão de 4.11.2015,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata_CLR_4.11.2015_24092018_121654.pdf
2015,Sessão de 2.12.2015,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/ATA_CLR_2.12.2015_24092018_121950.pdf
2016,Sessão de 17.2.2016,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-170216.pdf
2016,Sessão de 9.3.2016,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR_9.3.2016.pdf
2016,Sessão de 6.4.2016,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata_CLR_6.4.2016_24092018_113716.pdf
2016,Sessão de 4.5.2016,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata_CLR_4.5.2016_24092018_115325.pdf
2016,Sessão de 8.6.2016,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR_8.6.2016.pdf
2016,Sessão de 6.7.2016,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR_6.7.2016.pdf
2016,Sessão de 10.8.2016,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR_10.8.2016.pdf
2016,Sessão de 14.9.2016,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR_14.9.2016.pdf
2016,Sessão de 19.10.2016,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR_19.10.2016.pdf
2016,Sessão de 3.11.2016,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR_3.11.2016.pdf
2016,Sessão de 30.11.2016,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-30.11.2016.pdf
2017,Sessão de 15.2.2017,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-15.2.2017.pdf
2017,Sessão de 5.4.2017,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-5.4.2017.pdf
2017,Sessão de 3.5.2017,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-3.5.2017.pdf
2017,Sessão de 7.6.2017,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR_7.6.20171.pdf
2017,Sessão de 16.8.2017,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-16.8.2017.pdf
2017,Sessão de 20.9.2017,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR_20.9.2017.pdf
2017,Sessão de 18.10.2017,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-18.10.2017.pdf
2017,Sessão de 29.11.2017,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-29.11.2017.pdf
2018,Sessão de 20.2.2018,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-20.2.2018.pdf
2018,Sessão de 21.3.2018,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-21.3.2018.pdf
2018,Sessão de 11.4.2018,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-11.4.2018.pdf
2018,Sessão de 9.5.2018,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-9.5.2018.pdf
2018,Sessão de 13.6.2018,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-13.6.2018.pdf
2018,Sessão de 8.8.2018,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-080818.pdf
2018,Sessão de 5.9.2018,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR_05.09.18.pdf
2018,Sessão de 10.10.2018,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-10.10.2018.pdf
2018,Sessão de 7.11.2018,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR_07.11.2018.pdf
2018,Sessão de 5.12.2018,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-051218.pdf
2019,Sessão de 6.2.2019,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-06.02.2019.pdf
2019,Sessão de 24.4.2019,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-24042019.pdf
2019,Sessão de 15.5.2019,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-15052019.pdf
2019,Sessão de 12.6.2019,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-120619.pdf
2019,Sessão de 14.8.2019,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-1408191.pdf
2019,Sessão de 18.9.2019,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-18.09.19.pdf
2019,Sessão de 16.10.2019,Atas CLR,http://www.usp.br/secretaria/wp-content/uploads/Ata-CLR-16.10.2019.pdf
